1;12,84;2,99;7,82;6,74;25,64;13,49;2,18;17,43;3,82;7,05;97772544
2;12,78;3,21;7,31;7,17;24,43;13,61;2,5;17,41;3,62;7,95;116424100
3;11,74;3,5;7,92;8,13;24,7;12,98;2,52;16,83;3,9;7,77;73410624
4;13,97;2,87;6,58;6,41;22,47;15,34;2,21;18,56;3,12;8,46;85008400
5;13,41;2,87;7,12;6,3;21,84;14,76;2,12;20,23;3,19;8,15;88792929
6;13,28;3,12;6,52;5,8;22,4;14,9;2,24;20,76;2,94;8,04;25000000
7;14,07;3,19;7,44;6,8;21,3;14,05;2,05;19,99;3,07;8,03;33223696
8;14,42;2,98;6,42;6,17;22,85;15,46;1,93;18,39;3,2;8,17;50197225
9;13,73;3,17;7,17;6,96;21,99;15,4;1,76;18,97;2,9;7,95;20070400
10;14,31;2,48;6,56;5,91;23,16;15,47;1,95;19,17;3,33;7,67;41177889
